ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.277573,-0.067001,9.74118,-0.232534,-0.180784,9.802226,-0.04124,0.11116,0.035692,-0.044174,-0.064728,-0.010117,420.0,-18.9209,-5.6107,-54.2496,108.8994,1.0225,1.3981,8.0,937.8898,32.66893,36.04823,-115.13116,601.0,NaN,0.065956555,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",18,2020-02-03 10:12:47:082
-0.277573,-0.067001,9.74118,-0.232534,-0.180784,9.802226,-0.04124,0.11116,0.035692,0.01326,-0.054962,-0.016235,420.0,-18.9209,-5.6107,-54.2496,108.8994,1.0225,1.3981,8.0,937.8898,32.66893,36.04823,-115.13116,601.0,NaN,0.065956555,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",28,2020-02-03 10:12:47:092
-0.1651,-0.047852,9.789032,-0.220957,-0.177236,9.802559,0.044367,0.130473,0.126983,0.015701,-0.048859,-0.018677,420.0,-18.9529,-6.9656,-53.5065,108.8994,1.0225,1.3981,8.0,937.8898,32.66893,36.04823,-115.13116,601.0,NaN,0.065956555,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",38,2020-02-03 10:12:47:102
-0.1651,-0.047852,9.789032,-0.220957,-0.177236,9.802559,0.044367,0.130473,0.126983,0.015701,-0.048859,-0.018677,420.0,-18.9529,-6.9656,-53.5065,108.8994,1.0225,1.3981,8.0,937.8926,32.66893,36.04823,-115.13116,601.0,NaN,0.043342944,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",48,2020-02-03 10:12:47:112
-0.186645,-0.100494,9.712463,-0.215778,-0.170718,9.80279,0.033323,0.1181,0.052967,0.023041,-0.021973,-0.005234,420.0,-18.9697,-7.637,-54.2374,113.8695,0.9975,1.261,8.0,937.8926,32.66893,36.04823,-115.13116,601.0,NaN,0.043342944,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",58,2020-02-03 10:12:47:122
-0.241669,-0.145966,9.626328,-0.215778,-0.170718,9.80279,0.033323,0.1181,0.052967,0.010818,-0.04274,0.042404,420.0,-18.9697,-7.637,-54.2374,113.8695,0.9975,1.261,8.0,937.8926,32.66893,36.04823,-115.13116,601.0,NaN,0.043342944,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",68,2020-02-03 10:12:47:132
-0.241669,-0.145966,9.626328,-0.215778,-0.170718,9.80279,0.033323,0.1181,0.052967,0.010818,-0.04274,0.042404,420.0,-18.9697,-7.637,-54.2374,113.8695,0.9975,1.261,8.0,937.8926,32.66893,36.04823,-115.13116,601.0,NaN,0.043342944,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",78,2020-02-03 10:12:47:142
-0.232101,-0.136398,9.626328,-0.208828,-0.166045,9.80302,-0.041736,0.015367,-0.050673,0.012039,-0.058609,0.06073,420.0,-18.9377,-6.2912,-53.5095,113.8695,0.9975,1.261,8.0,937.8926,32.66893,36.04823,-115.13116,601.0,NaN,0.043342944,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",88,2020-02-03 10:12:47:152
-0.023926,0.1651,9.748352,-0.188556,-0.156597,9.803587,0.145235,0.295578,0.06891,0.008377,-0.068375,0.022858,420.0,-18.9377,-6.2912,-53.5095,113.8695,0.9975,1.261,8.0,937.8926,32.66893,36.04823,-115.13116,601.0,NaN,0.043342944,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",98,2020-02-03 10:12:47:162
-0.023926,0.1651,9.748352,-0.188556,-0.156597,9.803587,0.145235,0.295578,0.06891,0.008377,-0.068375,0.022858,420.0,-20.4102,-8.3511,-53.4988,112.8114,0.915,1.1019,8.0,937.8926,32.66893,36.04823,-115.13116,601.0,NaN,0.043342944,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",108,2020-02-03 10:12:47:172
