ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.459427,0.528809,9.726822,-0.063596,0.145519,9.805364,0.467607,0.387326,0.116038,0.001038,0.022003,-0.057755,524.0,-18.1931,-4.9255,-52.7832,102.9402,-0.8502,0.3716,8.0,937.9379,29.39552,36.04823,-115.13116,600.0,NaN,0.0018845618,0.0,5.36,,12 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,22,54,178,19,23,54,317,20,26,46,074,18,31,18,049,20*72::$GPGSA,A,3,01,03,04,06,07,09,14,16,22,23,26,31,1.1,0.8,0.7,1*2B::$GPRMC,181016.00,A,3602.893768,N,11507.869350,W,0.0,,030220,12.3,E,A*3A::$GPGGA,181016.00,3602.893768,N,11507.869350,W,1,12,0.8,618.0,M,-18.0,M,,*5E::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,01,193,00,000,28,0,6*69",20,2020-02-03 10:10:15:699
0.459427,0.528809,9.726822,-0.06247,0.147499,9.805342,0.467607,0.387326,0.116038,0.001038,0.022003,-0.057755,524.0,-18.1931,-4.9255,-52.7832,102.9402,-0.8502,0.3716,8.0,937.9379,29.39552,36.04823,-115.13116,600.0,NaN,0.0018845618,0.0,5.36,,12 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,22,54,178,19,23,54,317,20,26,46,074,18,31,18,049,20*72::$GPGSA,A,3,01,03,04,06,07,09,14,16,22,23,26,31,1.1,0.8,0.7,1*2B::$GPRMC,181016.00,A,3602.893768,N,11507.869350,W,0.0,,030220,12.3,E,A*3A::$GPGGA,181016.00,3602.893768,N,11507.869350,W,1,12,0.8,618.0,M,-18.0,M,,*5E::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,01,193,00,000,28,0,6*69",30,2020-02-03 10:10:15:709
0.459427,0.528809,9.726822,-0.06247,0.147499,9.805342,0.467607,0.387326,0.116038,0.001038,0.022003,-0.057755,524.0,-18.1931,-4.9255,-52.7832,102.9402,-0.8502,0.3716,8.0,937.9379,29.39552,36.04823,-115.13116,600.0,NaN,0.0018845618,0.0,5.36,,12 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,22,54,178,19,23,54,317,20,26,46,074,18,31,18,049,20*72::$GPGSA,A,3,01,03,04,06,07,09,14,16,22,23,26,31,1.1,0.8,0.7,1*2B::$GPRMC,181016.00,A,3602.893768,N,11507.869350,W,0.0,,030220,12.3,E,A*3A::$GPGGA,181016.00,3602.893768,N,11507.869350,W,1,12,0.8,618.0,M,-18.0,M,,*5E::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,01,193,00,000,28,0,6*69",40,2020-02-03 10:10:15:719
0.217743,0.382858,9.702896,-0.065192,0.147381,9.805326,0.26151,0.222381,0.052356,-0.006287,0.053772,-0.05899,524.0,-18.9194,-5.6213,-52.0447,102.9402,-0.8502,0.3716,8.0,937.9379,29.39552,36.04823,-115.13116,600.0,NaN,0.0018845618,0.0,5.36,,12 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,22,54,178,19,23,54,317,20,26,46,074,18,31,18,049,20*72::$GPGSA,A,3,01,03,04,06,07,09,14,16,22,23,26,31,1.1,0.8,0.7,1*2B::$GPRMC,181016.00,A,3602.893768,N,11507.869350,W,0.0,,030220,12.3,E,A*3A::$GPGGA,181016.00,3602.893768,N,11507.869350,W,1,12,0.8,618.0,M,-18.0,M,,*5E::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,01,193,00,000,28,0,6*69",50,2020-02-03 10:10:15:729
0.263214,0.26561,9.762711,-0.098732,0.140837,9.805142,0.345956,0.128291,0.110069,-0.029495,0.156387,-0.080963,524.0,-17.5125,-6.2622,-52.774,105.7904,-0.8229,0.5769,8.0,937.9379,29.39552,36.04823,-115.13116,600.0,NaN,0.0018845618,0.0,5.36,,12 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,22,54,178,19,23,54,317,20,26,46,074,18,31,18,049,20*72::$GPGSA,A,3,01,03,04,06,07,09,14,16,22,23,26,31,1.1,0.8,0.7,1*2B::$GPRMC,181016.00,A,3602.893768,N,11507.869350,W,0.0,,030220,12.3,E,A*3A::$GPGGA,181016.00,3602.893768,N,11507.869350,W,1,12,0.8,618.0,M,-18.0,M,,*5E::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,01,193,00,000,28,0,6*69",60,2020-02-03 10:10:15:739
-0.035889,0.279953,9.640686,-0.123879,0.13856,9.804889,0.112267,0.152057,0.022753,-0.01973,0.184509,-0.101746,524.0,-17.5125,-6.2622,-52.774,105.7904,-0.8229,0.5769,8.0,937.9379,29.39552,36.04823,-115.13116,600.0,NaN,0.0018845618,0.0,5.36,,12 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,22,54,178,19,23,54,317,20,26,46,074,18,31,18,049,20*72::$GPGSA,A,3,01,03,04,06,07,09,14,16,22,23,26,31,1.1,0.8,0.7,1*2B::$GPRMC,181016.00,A,3602.893768,N,11507.869350,W,0.0,,030220,12.3,E,A*3A::$GPGGA,181016.00,3602.893768,N,11507.869350,W,1,12,0.8,618.0,M,-18.0,M,,*5E::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,01,193,00,000,28,0,6*69",70,2020-02-03 10:10:15:749
-0.035889,0.279953,9.640686,-0.123879,0.13856,9.804889,0.112267,0.152057,0.022753,-0.01973,0.184509,-0.101746,524.0,-17.5125,-6.2622,-52.774,105.7904,-0.8229,0.5769,8.0,937.9379,29.39552,36.04823,-115.13116,600.0,NaN,0.0018845618,0.0,5.36,,12 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,22,54,178,19,23,54,317,20,26,46,074,18,31,18,049,20*72::$GPGSA,A,3,01,03,04,06,07,09,14,16,22,23,26,31,1.1,0.8,0.7,1*2B::$GPRMC,181016.00,A,3602.893768,N,11507.869350,W,0.0,,030220,12.3,E,A*3A::$GPGGA,181016.00,3602.893768,N,11507.869350,W,1,12,0.8,618.0,M,-18.0,M,,*5E::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,01,193,00,000,28,0,6*69",80,2020-02-03 10:10:15:759
-0.174683,0.24646,9.568893,-0.133557,0.137348,9.804779,-0.015819,0.120962,-0.05006,-0.031937,0.207718,-0.10907,524.0,-18.2404,-6.9534,-52.7725,105.7904,-0.8229,0.5769,8.0,937.9412,29.39552,36.04823,-115.13116,600.0,NaN,-0.025912771,0.0,5.36,,12 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,22,54,178,19,23,54,317,20,26,46,074,18,31,18,049,20*72::$GPGSA,A,3,01,03,04,06,07,09,14,16,22,23,26,31,1.1,0.8,0.7,1*2B::$GPRMC,181016.00,A,3602.893768,N,11507.869350,W,0.0,,030220,12.3,E,A*3A::$GPGGA,181016.00,3602.893768,N,11507.869350,W,1,12,0.8,618.0,M,-18.0,M,,*5E::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,01,193,00,000,28,0,6*69",93,2020-02-03 10:10:15:772
-0.208176,0.141174,9.734009,-0.168237,0.125869,9.804399,-0.0176,0.023365,0.121356,-0.073456,0.147827,-0.104187,524.0,-17.4637,-4.2358,-52.0493,100.5633,-0.7354,0.9831,8.0,937.9412,29.39552,36.04823,-115.13116,600.0,NaN,-0.025912771,0.0,5.36,,12 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,22,54,178,19,23,54,317,20,26,46,074,18,31,18,049,20*72::$GPGSA,A,3,01,03,04,06,07,09,14,16,22,23,26,31,1.1,0.8,0.7,1*2B::$GPRMC,181016.00,A,3602.893768,N,11507.869350,W,0.0,,030220,12.3,E,A*3A::$GPGGA,181016.00,3602.893768,N,11507.869350,W,1,12,0.8,618.0,M,-18.0,M,,*5E::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,01,193,00,000,28,0,6*69",108,2020-02-03 10:10:15:787
-0.208176,0.141174,9.734009,-0.168237,0.125869,9.804399,-0.0176,0.023365,0.121356,-0.073456,0.147827,-0.104187,524.0,-17.4637,-4.2358,-52.0493,100.5633,-0.7354,0.9831,8.0,937.9412,29.39552,36.04823,-115.13116,600.0,NaN,-0.025912771,0.0,5.36,,12 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,22,54,178,19,23,54,317,20,26,46,074,18,31,18,049,20*72::$GPGSA,A,3,01,03,04,06,07,09,14,16,22,23,26,31,1.1,0.8,0.7,1*2B::$GPRMC,181016.00,A,3602.893768,N,11507.869350,W,0.0,,030220,12.3,E,A*3A::$GPGGA,181016.00,3602.893768,N,11507.869350,W,1,12,0.8,618.0,M,-18.0,M,,*5E::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,01,193,00,000,28,0,6*69",113,2020-02-03 10:10:15:792
