ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),ATMOSPHERIC PRESSURE (hPa),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.693924,0.67717,9.975677,-0.669051,0.954234,9.737155,-0.02757,-0.253423,0.38812,-0.085693,-0.191528,-0.030136,53.0,-21.3211,-7.9895,-58.1161,95.6065,-5.7452,3.981,946.198,58,2019-11-30 14:32:55:225
-0.629318,0.839874,9.662216,-0.622046,0.943472,9.741319,-0.03431,-0.122092,0.123142,-0.02829,-0.259933,-0.003281,53.0,-22.6974,-6.0074,-55.188,91.6847,-5.584,3.9307,946.198,68,2019-11-30 14:32:55:235
-0.629318,0.839874,9.662216,-0.622046,0.943472,9.741319,-0.03431,-0.122092,0.123142,-0.02829,-0.259933,-0.003281,53.0,-22.6974,-6.0074,-55.188,91.6847,-5.584,3.9307,946.198,77,2019-11-30 14:32:55:244
-0.612564,0.868591,9.379868,-0.591577,0.942521,9.743309,-0.035641,-0.064888,-0.211035,-0.012405,-0.239166,0.004059,53.0,-22.0505,-8.6868,-56.6452,91.6847,-5.584,3.9307,946.198,87,2019-11-30 14:32:55:254
-0.583847,0.878159,9.181259,-0.578363,0.943264,9.744031,-0.015216,-0.042822,-0.358101,0.003464,-0.112122,0.028473,53.0,-22.0505,-8.6868,-56.6452,91.6847,-5.584,3.9307,946.198,98,2019-11-30 14:32:55:265
-0.440277,0.770493,9.178864,-0.578363,0.943264,9.744031,-0.015216,-0.042822,-0.358101,-0.014862,-0.005844,0.029709,53.0,-24.1226,-6.0364,-55.925,91.5373,-5.5196,3.3968,946.198,108,2019-11-30 14:32:55:275
-0.358917,0.708283,9.384644,-0.571728,0.941133,9.744628,0.140835,-0.156549,-0.398316,-0.014862,-0.005844,0.029709,53.0,-24.1226,-6.0364,-55.925,91.5373,-5.5196,3.3968,946.198,118,2019-11-30 14:32:55:285
-0.358917,0.708283,9.384644,-0.571728,0.941133,9.744628,0.140835,-0.156549,-0.398316,-0.024643,0.039352,0.012604,53.0,-23.4406,-7.3761,-55.1804,91.5373,-5.5196,3.3968,946.198,127,2019-11-30 14:32:55:294
-0.41156,0.646057,9.523438,-0.5779,0.936781,9.744683,0.189924,-0.270618,-0.110361,-0.025848,0.06012,-0.016708,53.0,-22.7127,-6.6833,-55.1849,94.044,-5.4815,3.3939,946.2089,138,2019-11-30 14:32:55:305
-0.41156,0.646057,9.523438,-0.588069,0.930269,9.744699,0.07431,-0.31323,-0.04187,-0.025848,0.06012,-0.016708,53.0,-22.7127,-6.6833,-55.1849,94.044,-5.4815,3.3939,946.2089,147,2019-11-30 14:32:55:314
