ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.112457,2.644074,9.533005,-0.376151,2.727792,9.412123,0.250099,-0.048669,0.247907,0.056992,0.044373,-0.082458,202.0,-17.8345,-3.1403,-42.0609,66.4009,-16.0757,2.1639,8.0,946.897,24.95952,36.048264,-115.131096,615.0,NaN,-0.05517413,0.0,9.648001,,14 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,4,4,13,16,05,158,*45::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,203438.00,A,3602.895883,N,11507.865568,W,0.0,,011219,12.3,E,A*21::$GPRMC,203334.00,A,3602.900606,N,11507.868379,W,0.0,,011219,12.3,E,A*31::$GPGGA,203334.00,3602.900606,N,11507.868379,W,1,00,1.1,624.0,M,-18.0,M,,*58::$GNGGA,203438.00,3602.895883,N,11507.865568,W,1,12,0.8,633.0,M,-18.0,M,,*45::$GNGSA,A,3,70,71,72,80,87,,,,,,,,1.1,0.8,0.8,2*31::$GPGSA,A,1,,,,,,,,,,,,,1.4,1.1,0.8,1*20::$GAGSV,1,1,0,*74::$GLGSV,2,2,08,87,14,317,21,71,51,347,22,72,14,303,20,85,00,000,*6C::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",36,2019-12-01 12:34:37:851
-0.098099,2.912064,9.413361,-0.357965,2.78551,9.395913,0.074861,0.218981,-0.088707,0.030121,0.057816,0.023819,202.0,-19.986,-3.8727,-40.5884,70.6045,-16.5016,2.1818,8.0,946.8925,24.95952,36.048264,-115.131096,615.0,NaN,-0.017598605,0.0,9.648001,,14 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,4,4,13,16,05,158,*45::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,203438.00,A,3602.895883,N,11507.865568,W,0.0,,011219,12.3,E,A*21::$GPRMC,203334.00,A,3602.900606,N,11507.868379,W,0.0,,011219,12.3,E,A*31::$GPGGA,203334.00,3602.900606,N,11507.868379,W,1,00,1.1,624.0,M,-18.0,M,,*58::$GNGGA,203438.00,3602.895883,N,11507.865568,W,1,12,0.8,633.0,M,-18.0,M,,*45::$GNGSA,A,3,70,71,72,80,87,,,,,,,,1.1,0.8,0.8,2*31::$GPGSA,A,1,,,,,,,,,,,,,1.4,1.1,0.8,1*20::$GAGSV,1,1,0,*74::$GLGSV,2,2,08,87,14,317,21,71,51,347,22,72,14,303,20,85,00,000,*6C::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",135,2019-12-01 12:34:37:950
-0.248856,2.892929,8.73381,-0.431242,2.820539,9.382376,0.146008,0.116402,-0.507668,-0.055405,0.170212,0.044586,202.0,-18.5623,-3.8467,-39.119,68.668,-16.7416,2.5569,8.0,946.8983,25.76793,36.048264,-115.131096,615.0,NaN,-0.06563824,0.0,9.648001,,14 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,4,4,13,16,05,158,*45::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,203438.00,A,3602.895883,N,11507.865568,W,0.0,,011219,12.3,E,A*21::$GPRMC,203334.00,A,3602.900606,N,11507.868379,W,0.0,,011219,12.3,E,A*31::$GPGGA,203334.00,3602.900606,N,11507.868379,W,1,00,1.1,624.0,M,-18.0,M,,*58::$GNGGA,203438.00,3602.895883,N,11507.865568,W,1,12,0.8,633.0,M,-18.0,M,,*45::$GNGSA,A,3,70,71,72,80,87,,,,,,,,1.1,0.8,0.8,2*31::$GPGSA,A,1,,,,,,,,,,,,,1.4,1.1,0.8,1*20::$GAGSV,1,1,0,*74::$GLGSV,2,2,08,87,14,317,21,71,51,347,22,72,14,303,20,85,00,000,*6C::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",235,2019-12-01 12:34:38:050
-0.823135,2.823532,9.626328,-0.845274,2.825806,9.352578,-2.7E-5,0.043795,0.390215,0.064331,0.355927,0.006714,202.0,-17.1051,-2.4506,-41.3269,71.9787,-16.6608,4.47,8.0,946.8983,25.76793,36.048264,-115.131096,615.0,NaN,-0.06563824,0.0,9.648001,,14 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,4,4,13,16,05,158,*45::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,203438.00,A,3602.895883,N,11507.865568,W,0.0,,011219,12.3,E,A*21::$GPRMC,203334.00,A,3602.900606,N,11507.868379,W,0.0,,011219,12.3,E,A*31::$GPGGA,203334.00,3602.900606,N,11507.868379,W,1,00,1.1,624.0,M,-18.0,M,,*58::$GNGGA,203438.00,3602.895883,N,11507.865568,W,1,12,0.8,633.0,M,-18.0,M,,*45::$GNGSA,A,3,70,71,72,80,87,,,,,,,,1.1,0.8,0.8,2*31::$GPGSA,A,1,,,,,,,,,,,,,1.4,1.1,0.8,1*20::$GAGSV,1,1,0,*74::$GLGSV,2,2,08,87,14,317,21,71,51,347,21,72,14,303,19,85,00,000,*65::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",335,2019-12-01 12:34:38:150
-1.459625,3.144165,9.360718,-1.369496,2.87733,9.274472,-0.17301,0.415052,0.413942,0.213379,0.823837,-0.006729,202.0,-15.7303,-4.4418,-42.7856,69.5273,-16.707,6.9793,8.0,946.8971,25.76793,36.048264,-115.131096,615.0,NaN,-0.056125414,0.0,9.648001,,14 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,4,4,13,16,05,158,*45::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,203439.00,A,3602.895881,N,11507.865566,W,0.0,,011219,12.3,E,A*2C::$GPRMC,203334.00,A,3602.900606,N,11507.868379,W,0.0,,011219,12.3,E,A*31::$GPGGA,203334.00,3602.900606,N,11507.868379,W,1,00,1.1,624.0,M,-18.0,M,,*58::$GNGGA,203439.00,3602.895881,N,11507.865566,W,1,12,0.8,633.0,M,-18.0,M,,*48::$GNGSA,A,3,70,71,72,80,87,,,,,,,,1.1,0.8,0.8,2*31::$GPGSA,A,1,,,,,,,,,,,,,1.4,1.1,0.8,1*20::$GAGSV,1,1,0,*74::$GLGSV,2,2,08,87,14,317,21,71,51,347,21,72,14,303,19,85,00,000,*65::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",435,2019-12-01 12:34:38:250
-0.954742,4.223328,11.023727,-1.338276,3.129354,9.197095,0.361253,1.066651,1.995238,0.538361,-0.416183,0.143539,205.0,-15.0177,-4.4205,-43.5211,68.8104,-17.7204,9.133,8.0,946.8971,26.95598,36.048264,-115.131096,615.0,NaN,-0.056125414,0.0,9.648001,,14 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,4,4,13,16,05,158,*45::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,203439.00,A,3602.895881,N,11507.865566,W,0.0,,011219,12.3,E,A*2C::$GPRMC,203334.00,A,3602.900606,N,11507.868379,W,0.0,,011219,12.3,E,A*31::$GPGGA,203334.00,3602.900606,N,11507.868379,W,1,00,1.1,624.0,M,-18.0,M,,*58::$GNGGA,203439.00,3602.895881,N,11507.865566,W,1,12,0.8,633.0,M,-18.0,M,,*48::$GNGSA,A,3,70,71,72,80,87,,,,,,,,1.1,0.8,0.8,2*31::$GPGSA,A,1,,,,,,,,,,,,,1.4,1.1,0.8,1*20::$GAGSV,1,1,0,*74::$GLGSV,2,2,08,87,14,317,21,71,51,347,21,72,14,303,19,85,00,000,*65::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",535,2019-12-01 12:34:38:350
-0.839874,5.30249,9.449265,-1.084028,3.884791,8.938886,0.21356,1.444976,0.609032,0.746048,0.024826,0.309708,205.0,-13.6581,-7.1014,-42.0364,67.6044,-19.8503,7.672,8.0,946.9067,26.95598,36.048264,-115.131096,615.0,NaN,-0.13698475,0.0,9.648001,,14 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,4,4,13,16,05,158,*45::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,203439.00,A,3602.895881,N,11507.865566,W,0.0,,011219,12.3,E,A*2C::$GPRMC,203334.00,A,3602.900606,N,11507.868379,W,0.0,,011219,12.3,E,A*31::$GPGGA,203334.00,3602.900606,N,11507.868379,W,1,00,1.1,624.0,M,-18.0,M,,*58::$GNGGA,203439.00,3602.895881,N,11507.865566,W,1,12,0.8,633.0,M,-18.0,M,,*48::$GNGSA,A,3,70,71,72,80,87,,,,,,,,1.1,0.8,0.8,2*31::$GPGSA,A,1,,,,,,,,,,,,,1.4,1.1,0.8,1*20::$GAGSV,1,1,0,*74::$GLGSV,2,2,08,87,14,317,21,71,51,347,21,72,14,303,19,85,00,000,*65::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",635,2019-12-01 12:34:38:450
-1.196411,5.69252,9.571289,-0.995051,4.719184,8.53871,-0.202128,0.989221,1.013276,1.00383,-0.039917,0.193634,192.0,-14.4638,-11.1847,-40.5457,61.2475,-27.5991,6.6764,8.0,946.8951,26.95598,36.048264,-115.131096,615.0,NaN,-0.039478004,0.0,9.648001,,14 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,4,4,13,16,05,158,*45::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,203439.00,A,3602.895881,N,11507.865566,W,0.0,,011219,12.3,E,A*2C::$GPRMC,203334.00,A,3602.900606,N,11507.868379,W,0.0,,011219,12.3,E,A*31::$GPGGA,203334.00,3602.900606,N,11507.868379,W,1,00,1.1,624.0,M,-18.0,M,,*58::$GNGGA,203439.00,3602.895881,N,11507.865566,W,1,12,0.8,633.0,M,-18.0,M,,*48::$GNGSA,A,3,70,71,72,80,87,,,,,,,,1.1,0.8,0.8,2*31::$GPGSA,A,1,,,,,,,,,,,,,1.4,1.1,0.8,1*20::$GAGSV,1,1,0,*74::$GLGSV,2,2,08,87,14,317,21,71,51,347,21,72,14,303,19,85,00,000,*65::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",736,2019-12-01 12:34:38:551
0.098099,5.48674,9.997208,-0.538454,5.465474,8.124595,0.644862,-0.172095,1.932252,1.235962,-0.148636,0.106888,192.0,-16.6946,-15.3015,-37.587,67.5406,-33.8709,3.7917,8.0,946.8951,26.8607,36.048264,-115.131096,615.0,NaN,-0.039478004,0.0,9.648001,,14 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,4,4,13,16,05,158,*45::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,203439.00,A,3602.895881,N,11507.865566,W,0.0,,011219,12.3,E,A*2C::$GPRMC,203334.00,A,3602.900606,N,11507.868379,W,0.0,,011219,12.3,E,A*31::$GPGGA,203334.00,3602.900606,N,11507.868379,W,1,00,1.1,624.0,M,-18.0,M,,*58::$GNGGA,203439.00,3602.895881,N,11507.865566,W,1,12,0.8,633.0,M,-18.0,M,,*48::$GNGSA,A,3,70,71,72,80,87,,,,,,,,1.1,0.8,0.8,2*31::$GPGSA,A,1,,,,,,,,,,,,,1.4,1.1,0.8,1*20::$GAGSV,1,1,0,*74::$GLGSV,2,2,08,87,14,317,21,71,51,347,21,72,14,303,19,85,00,000,*65::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",835,2019-12-01 12:34:38:650
0.119644,5.93898,8.465805,-0.727171,6.419611,7.377683,0.833005,-0.574285,0.955135,1.025818,0.029724,-0.782501,167.0,-16.8076,-20.0424,-36.0916,71.7046,-39.6222,4.724,8.0,946.8943,26.8607,36.048264,-115.131096,615.0,NaN,-0.03234341,0.0,9.648001,,14 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,4,4,13,16,05,158,*45::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,203439.00,A,3602.895881,N,11507.865566,W,0.0,,011219,12.3,E,A*2C::$GPRMC,203334.00,A,3602.900606,N,11507.868379,W,0.0,,011219,12.3,E,A*31::$GPGGA,203334.00,3602.900606,N,11507.868379,W,1,00,1.1,624.0,M,-18.0,M,,*58::$GNGGA,203439.00,3602.895881,N,11507.865566,W,1,12,0.8,633.0,M,-18.0,M,,*48::$GNGSA,A,3,70,71,72,80,87,,,,,,,,1.1,0.8,0.8,2*31::$GPGSA,A,1,,,,,,,,,,,,,1.4,1.1,0.8,1*20::$GAGSV,1,1,0,*74::$GLGSV,2,2,08,87,14,317,21,71,51,347,21,72,14,303,19,85,00,000,*65::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",935,2019-12-01 12:34:38:750
