ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.270584,1.942978,8.602203,2.313021,2.658983,9.15151,-0.847337,-0.616324,-0.505532,0.564011,-0.983078,0.323135,86.0,17.0166,-4.3686,-44.9692,282.5922,-14.6895,-12.1761,8.0,947.1534,27.70812,36.04828,-115.13127,605.0,NaN,0.019982344,0.23,4.288,202.9,17 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,25,12,064,19,31,69,119,21,32,36,052,17,26,07,150,*71::$GNVTG,202.9,T,202.9,M,0.4,N,0.8,K,A*31::$GNRMC,195053.00,A,3602.896769,N,11507.876049,W,0.4,202.9,011219,12.3,E,A*0B::$GPRMC,195011.00,A,3602.899063,N,11507.864996,W,0.0,,011219,12.3,E,A*3A::$GPGGA,195011.00,3602.899063,N,11507.864996,W,1,00,0.8,621.0,M,-18.0,M,,*5E::$GNGGA,195053.00,3602.896769,N,11507.876049,W,1,12,0.7,623.0,M,-18.0,M,,*42::$GNGSA,A,3,69,70,71,79,80,85,87,,,,,,1.0,0.7,0.7,2*39::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.7,1*22::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,71,39,319,19,72,01,286,14*66::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",61,2019-12-01 11:50:52:542
3.144165,1.931015,9.932602,2.53801,2.675911,9.086716,0.758099,-0.64471,1.285497,-0.313171,0.63324,0.496628,86.0,16.272,-5.7404,-44.2291,279.617,-15.8349,-15.6056,8.0,947.1534,27.70812,36.04828,-115.13127,605.0,NaN,0.019982344,0.23,4.288,202.9,17 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,25,12,064,19,31,69,119,21,32,36,052,17,26,07,150,*71::$GNVTG,202.9,T,202.9,M,0.4,N,0.8,K,A*31::$GNRMC,195053.00,A,3602.896769,N,11507.876049,W,0.4,202.9,011219,12.3,E,A*0B::$GPRMC,195011.00,A,3602.899063,N,11507.864996,W,0.0,,011219,12.3,E,A*3A::$GPGGA,195011.00,3602.899063,N,11507.864996,W,1,00,0.8,621.0,M,-18.0,M,,*5E::$GNGGA,195053.00,3602.896769,N,11507.876049,W,1,12,0.7,623.0,M,-18.0,M,,*42::$GNGSA,A,3,69,70,71,79,80,85,87,,,,,,1.0,0.7,0.7,2*39::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.7,1*22::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,71,39,319,19,72,01,286,14*66::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",160,2019-12-01 11:50:52:641
2.428711,3.165711,8.401199,2.766383,3.007023,8.914894,-0.462346,0.165997,-0.440433,0.654434,-0.125427,0.150864,91.0,14.8315,-6.4575,-42.7551,279.039,-17.3298,-16.9089,8.0,947.1565,27.70812,36.04828,-115.13127,605.0,NaN,-0.0061850213,0.23,4.288,202.9,17 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,25,12,064,19,31,69,119,21,32,36,052,17,26,07,150,*71::$GNVTG,202.9,T,202.9,M,0.4,N,0.8,K,A*31::$GNRMC,195053.00,A,3602.896769,N,11507.876049,W,0.4,202.9,011219,12.3,E,A*0B::$GPRMC,195011.00,A,3602.899063,N,11507.864996,W,0.0,,011219,12.3,E,A*3A::$GPGGA,195011.00,3602.899063,N,11507.864996,W,1,00,0.8,621.0,M,-18.0,M,,*5E::$GNGGA,195053.00,3602.896769,N,11507.876049,W,1,12,0.7,623.0,M,-18.0,M,,*42::$GNGSA,A,3,69,70,71,79,80,85,87,,,,,,1.0,0.7,0.7,2*39::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.7,1*22::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,71,39,319,19,72,01,286,14*66::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",260,2019-12-01 11:50:52:741
1.220337,3.761521,8.123627,2.670942,3.471572,8.774089,-1.391312,0.518486,-0.624137,0.384415,0.227631,0.412323,91.0,15.4343,-11.1801,-41.2598,274.0068,-20.4287,-17.0099,8.0,947.1565,28.12901,36.04828,-115.13127,605.0,NaN,-0.0061850213,0.23,4.288,202.9,17 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,25,12,064,19,31,69,119,21,32,36,052,17,26,07,150,*71::$GNVTG,202.9,T,202.9,M,0.4,N,0.8,K,A*31::$GNRMC,195053.00,A,3602.896769,N,11507.876049,W,0.4,202.9,011219,12.3,E,A*0B::$GPRMC,195011.00,A,3602.899063,N,11507.864996,W,0.0,,011219,12.3,E,A*3A::$GPGGA,195011.00,3602.899063,N,11507.864996,W,1,00,0.8,621.0,M,-18.0,M,,*5E::$GNGGA,195053.00,3602.896769,N,11507.876049,W,1,12,0.7,623.0,M,-18.0,M,,*42::$GNGSA,A,3,69,70,71,79,80,85,87,,,,,,1.0,0.7,0.7,2*39::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.7,1*22::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,71,39,319,19,72,01,286,14*66::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",361,2019-12-01 11:50:52:842
0.782455,3.933807,8.750549,2.600513,3.57108,8.75529,-1.785616,0.416151,0.087596,0.143723,0.303391,0.44165,81.0,16.1133,-12.5122,-41.9891,273.4409,-21.3547,-16.6499,8.0,947.1463,28.12901,36.04828,-115.13127,605.0,NaN,0.079929076,0.23,4.288,202.9,17 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,25,12,064,19,31,69,119,21,32,36,052,17,26,07,150,*71::$GNVTG,202.9,T,202.9,M,0.4,N,0.8,K,A*31::$GNRMC,195053.00,A,3602.896769,N,11507.876049,W,0.4,202.9,011219,12.3,E,A*0B::$GPRMC,195011.00,A,3602.899063,N,11507.864996,W,0.0,,011219,12.3,E,A*3A::$GPGGA,195011.00,3602.899063,N,11507.864996,W,1,00,0.8,621.0,M,-18.0,M,,*5E::$GNGGA,195053.00,3602.896769,N,11507.876049,W,1,12,0.7,623.0,M,-18.0,M,,*42::$GNGSA,A,3,69,70,71,79,80,85,87,,,,,,1.0,0.7,0.7,2*39::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.7,1*22::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,71,39,319,19,72,01,286,14*66::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",460,2019-12-01 11:50:52:941
0.516846,3.136994,7.688141,2.367343,3.522083,8.840871,-1.87869,-0.329667,-1.095659,-0.103043,0.591705,0.803284,81.0,17.5217,-13.1653,-40.5136,271.0313,-21.2578,-15.2654,8.0,947.1463,28.12901,36.04828,-115.13127,605.0,NaN,0.079929076,0.23,4.288,202.9,17 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,25,12,064,19,31,69,119,21,32,36,052,17,26,07,150,*71::$GNVTG,202.9,T,202.9,M,0.4,N,0.8,K,A*31::$GNRMC,195053.00,A,3602.896769,N,11507.876049,W,0.4,202.9,011219,12.3,E,A*0B::$GPRMC,195011.00,A,3602.899063,N,11507.864996,W,0.0,,011219,12.3,E,A*3A::$GPGGA,195011.00,3602.899063,N,11507.864996,W,1,00,0.8,621.0,M,-18.0,M,,*5E::$GNGGA,195053.00,3602.896769,N,11507.876049,W,1,12,0.7,623.0,M,-18.0,M,,*42::$GNGSA,A,3,69,70,71,79,80,85,87,,,,,,1.0,0.7,0.7,2*39::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.7,1*22::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,71,39,319,19,72,01,286,14*66::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",560,2019-12-01 11:50:53:041
-0.488129,2.857025,8.329422,1.903614,3.208759,9.069207,-2.408905,-0.344372,-0.609277,-0.230103,0.926468,0.825272,77.0,19.6121,-15.1413,-41.2353,267.0451,-19.7956,-13.2008,8.0,947.141,30.09186,36.048283,-115.131256,604.0,NaN,0.12465095,0.71,5.36,202.9,17 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,1,12,01,49,284,16,03,21,307,26,10,19,113,16,11,30,262,17*73::$GNVTG,202.9,T,202.9,M,0.4,N,0.8,K,A*31::$GNRMC,195053.00,A,3602.896769,N,11507.876049,W,0.4,202.9,011219,12.3,E,A*0B::$GPRMC,195011.00,A,3602.899063,N,11507.864996,W,0.0,,011219,12.3,E,A*3A::$GPGGA,195011.00,3602.899063,N,11507.864996,W,1,00,0.8,621.0,M,-18.0,M,,*5E::$GNGGA,195053.00,3602.896769,N,11507.876049,W,1,12,0.7,623.0,M,-18.0,M,,*42::$GNGSA,A,3,69,70,71,79,80,85,87,,,,,,1.0,0.7,0.7,2*39::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.7,1*22::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,71,39,319,19,72,01,286,14*66::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",661,2019-12-01 11:50:53:142
-0.387634,3.668198,10.097717,0.765579,2.849363,9.352294,-1.160213,0.777078,0.940337,-0.399918,2.23494,0.755631,77.0,23.1583,-15.7623,-36.0886,259.3676,-17.5987,-7.7512,8.0,947.1477,30.09186,36.048283,-115.131256,604.0,NaN,0.06755915,0.71,5.36,202.9,17 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,25,12,064,19,31,69,119,18,32,36,052,21,26,07,150,*7E::$GNVTG,202.9,T,202.9,M,1.4,N,2.6,K,A*3C::$GNRMC,195054.00,A,3602.896900,N,11507.875611,W,1.4,202.9,011219,12.3,E,A*04::$GPRMC,195011.00,A,3602.899063,N,11507.864996,W,0.0,,011219,12.3,E,A*3A::$GPGGA,195011.00,3602.899063,N,11507.864996,W,1,00,0.8,621.0,M,-18.0,M,,*5E::$GNGGA,195054.00,3602.896900,N,11507.875611,W,1,12,0.7,622.0,M,-18.0,M,,*4D::$GNGSA,A,3,69,70,71,79,80,85,87,,,,,,1.0,0.7,0.7,2*39::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.7,1*22::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,71,39,319,25,72,01,286,14*69::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",761,2019-12-01 11:50:53:242
-1.466797,3.864411,12.045471,-1.027853,2.59138,9.402055,-0.453348,1.28397,2.70575,-0.022415,1.912399,0.642014,76.0,28.8574,-15.6479,-33.1467,256.825,-15.2973,4.8519,8.0,947.1477,30.09186,36.048283,-115.131256,604.0,NaN,0.06755915,0.71,5.36,202.9,17 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,25,12,064,19,31,69,119,18,32,36,052,21,26,07,150,*7E::$GNVTG,202.9,T,202.9,M,1.4,N,2.6,K,A*3C::$GNRMC,195054.00,A,3602.896900,N,11507.875611,W,1.4,202.9,011219,12.3,E,A*04::$GPRMC,195011.00,A,3602.899063,N,11507.864996,W,0.0,,011219,12.3,E,A*3A::$GPGGA,195011.00,3602.899063,N,11507.864996,W,1,00,0.8,621.0,M,-18.0,M,,*5E::$GNGGA,195054.00,3602.896900,N,11507.875611,W,1,12,0.7,622.0,M,-18.0,M,,*4D::$GNGSA,A,3,69,70,71,79,80,85,87,,,,,,1.0,0.7,0.7,2*39::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.7,1*22::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,71,39,319,25,72,01,286,14*69::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",861,2019-12-01 11:50:53:342
-1.674972,4.548752,11.181656,-2.687928,2.758921,9.018525,1.109614,1.719985,2.008269,0.048447,2.338791,0.413559,76.0,35.9024,-18.898,-27.2476,254.065,-16.1034,14.1734,8.0,947.1473,30.09186,36.048283,-115.131256,604.0,NaN,0.07136528,0.71,5.36,202.9,17 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,25,12,064,19,31,69,119,18,32,36,052,21,26,07,150,*7E::$GNVTG,202.9,T,202.9,M,1.4,N,2.6,K,A*3C::$GNRMC,195054.00,A,3602.896900,N,11507.875611,W,1.4,202.9,011219,12.3,E,A*04::$GPRMC,195011.00,A,3602.899063,N,11507.864996,W,0.0,,011219,12.3,E,A*3A::$GPGGA,195011.00,3602.899063,N,11507.864996,W,1,00,0.8,621.0,M,-18.0,M,,*5E::$GNGGA,195054.00,3602.896900,N,11507.875611,W,1,12,0.7,622.0,M,-18.0,M,,*4D::$GNGSA,A,3,69,70,71,79,80,85,87,,,,,,1.0,0.7,0.7,2*39::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.7,1*22::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,71,39,319,25,72,01,286,14*69::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",961,2019-12-01 11:50:53:442
