,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,EARTH ACCELERATION X,EARTH ACCELERATION Y,EARTH ACCELERATION Z,EARTH GRAVITY X,EARTH GRAVITY Y,EARTH GRAVITY Z,EARTH LINEAR ACCELERATION X,EARTH LINEAR ACCELERATION Y,EARTH LINEAR ACCELERATION Z,x_ifft,y_ifft,z_ifft
0,-0.277573,-0.067001,9.74118,-0.23253400000000002,-0.180784,9.802226,-0.04124,0.11116,0.035692,-0.044174,-0.064728,-0.010117000000000001,420.0,-18.9209,-5.6107,-54.2496,1.900653083446313,0.01784599160164202,0.024401448272132722,8.0,937.8898,32.668929999999996,36.04823,-115.13116000000001,601.0,,0.065956555,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",18,2020-02-03 10:12:47:082,0.11398070643538552,0.00307003094348679,9.74469715641284,-0.007702874645201474,-0.004487540301372439,9.806646215633162,0.11884068307100737,0.002020974092424293,0.034698843999968226,0.09786940902331691,-0.11247766077715153,-0.3353161292219238
1,-0.277573,-0.067001,9.74118,-0.23253400000000002,-0.180784,9.802226,-0.04124,0.11116,0.035692,0.01326,-0.054962000000000004,-0.016235,420.0,-18.9209,-5.6107,-54.2496,1.900653083446313,0.01784599160164202,0.024401448272132722,8.0,937.8898,32.668929999999996,36.04823,-115.13116000000001,601.0,,0.065956555,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",28,2020-02-03 10:12:47:092,0.11398070643538552,0.00307003094348679,9.74469715641284,-0.007702874645201474,-0.004487540301372439,9.806646215633162,0.11884068307100737,0.002020974092424293,0.034698843999968226,0.049570368225206586,0.05750415332535535,-0.33598793004126554
2,-0.1651,-0.047852,9.789032,-0.22095700000000001,-0.17723599999999998,9.802559,0.044367000000000004,0.130473,0.12698299999999998,0.015701,-0.048859,-0.018677000000000003,420.0,-18.9529,-6.9656,-53.5065,1.900653083446313,0.01784599160164202,0.024401448272132722,8.0,937.8898,32.668929999999996,36.04823,-115.13116000000001,601.0,,0.065956555,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",38,2020-02-03 10:12:47:102,0.09610694134774166,-0.1108823743454922,9.789441448612495,-0.0080919560562248,-0.016594338840094036,9.806633300587498,0.11021171900783988,-0.08782807691909471,0.12351486795131396,0.003861681253624578,0.06387965780275755,-0.152492123716734
3,-0.1651,-0.047852,9.789032,-0.22095700000000001,-0.17723599999999998,9.802559,0.044367000000000004,0.130473,0.12698299999999998,0.015701,-0.048859,-0.018677000000000003,420.0,-18.9529,-6.9656,-53.5065,1.900653083446313,0.01784599160164202,0.024401448272132722,8.0,937.8926,32.668929999999996,36.04823,-115.13116000000001,601.0,,0.043342944,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",48,2020-02-03 10:12:47:112,0.09610694134774166,-0.1108823743454922,9.789441448612495,-0.0080919560562248,-0.016594338840094036,9.806633300587498,0.11021171900783988,-0.08782807691909471,0.12351486795131396,-0.0011479815863646011,0.047179338376590614,-0.04092110315563469
4,-0.186645,-0.100494,9.712463,-0.21577800000000003,-0.170718,9.80279,0.033323,0.1181,0.05296699999999999,0.023041,-0.021973,-0.005234,420.0,-18.9697,-7.6370000000000005,-54.2374,1.9873976925996832,0.017409659288643436,0.022008601867648494,8.0,937.8926,32.668929999999996,36.04823,-115.13116000000001,601.0,,0.043342944,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",58,2020-02-03 10:12:47:122,0.051750600604783495,-0.052585589640701064,9.714495846801787,-4.857288498102963e-05,-1.705808745378068e-05,9.806650629152529,0.09489135678090622,-0.07964551183925346,0.050157335157901835,0.002021595895375098,-0.03396693693126354,-0.04784077651975474
5,-0.241669,-0.145966,9.626327999999999,-0.21577800000000003,-0.170718,9.80279,0.033323,0.1181,0.05296699999999999,0.010818000000000001,-0.04274,0.042404000000000004,420.0,-18.9697,-7.6370000000000005,-54.2374,1.9873976925996832,0.017409659288643436,0.022008601867648494,8.0,937.8926,32.668929999999996,36.04823,-115.13116000000001,601.0,,0.043342944,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",68,2020-02-03 10:12:47:132,0.03182311075404182,0.018441688985140148,9.63039708091158,-4.857288498102963e-05,-1.705808745378068e-05,9.806650629152529,0.09489135678090622,-0.07964551183925346,0.050157335157901835,0.018447560535385866,-0.107637567856069,-0.04557597697883951
6,-0.241669,-0.145966,9.626327999999999,-0.21577800000000003,-0.170718,9.80279,0.033323,0.1181,0.05296699999999999,0.010818000000000001,-0.04274,0.042404000000000004,420.0,-18.9697,-7.6370000000000005,-54.2374,1.9873976925996832,0.017409659288643436,0.022008601867648494,8.0,937.8926,32.668929999999996,36.04823,-115.13116000000001,601.0,,0.043342944,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",78,2020-02-03 10:12:47:142,0.03182311075404182,0.018441688985140148,9.63039708091158,-4.857288498102963e-05,-1.705808745378068e-05,9.806650629152529,0.09489135678090622,-0.07964551183925346,0.050157335157901835,0.013063271641733383,-0.09250075024410935,-0.08192179191273413
7,-0.23210100000000003,-0.136398,9.626327999999999,-0.208828,-0.166045,9.80302,-0.041736,0.015366999999999999,-0.050673,0.012039,-0.058609,0.06072999999999999,420.0,-18.9377,-6.2912,-53.5095,1.9873976925996832,0.017409659288643436,0.022008601867648494,8.0,937.8926,32.668929999999996,36.04823,-115.13116000000001,601.0,,0.043342944,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",88,2020-02-03 10:12:47:152,0.03670211227446893,0.005826365102015452,9.630019992742136,0.0014147634748856303,-0.008266358458108192,9.806646259643056,0.03058196938398717,0.03332163683559046,-0.05000202977073923,-0.0765519307152319,0.1300906863215322,-0.2092213183718616
8,-0.023926,0.1651,9.748352,-0.188556,-0.15659700000000001,9.803587,0.145235,0.295578,0.06891,0.008376999999999999,-0.068375,0.022858,420.0,-18.9377,-6.2912,-53.5095,1.9873976925996832,0.017409659288643436,0.022008601867648494,8.0,937.8926,32.668929999999996,36.04823,-115.13116000000001,601.0,,0.043342944,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",98,2020-02-03 10:12:47:162,0.22905528936493663,-0.3096906408918886,9.742167241468293,0.001857628224007396,-0.030634687201762323,9.806602475744157,0.21202958174039171,-0.2541382170176447,0.06054230361562937,0.081001831992731,-0.021146800849814962,-0.07928339906185933
9,-0.023926,0.1651,9.748352,-0.188556,-0.15659700000000001,9.803587,0.145235,0.295578,0.06891,0.008376999999999999,-0.068375,0.022858,420.0,-20.4102,-8.3511,-53.4988,1.9689303637843312,0.015969762655748117,0.01923178302772552,8.0,937.8926,32.668929999999996,36.04823,-115.13116000000001,601.0,,0.043342944,0.0,7.504,,8 / 13,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,31,17,050,22,01,06,205,,06,09,309,,14,09,094,*7F::$GPGSA,A,3,03,04,07,09,16,22,23,26,,,,,1.4,1.1,0.9,1*28::$GPRMC,181247.00,A,3602.893661,N,11507.869367,W,0.0,,030220,12.3,E,A*30::$GPGGA,181247.00,3602.893661,N,11507.869367,W,1,08,1.1,619.0,M,-18.0,M,,*56::$GAGSV,1,1,0,*74::$GLGSV,1,1,0,*79::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",108,2020-02-03 10:12:47:172,0.23228664268101232,-0.2750396980413273,9.743130567713509,-3.3262360911057165e-05,-2.0459225627156297e-05,9.806650501093076,0.21666372392866515,-0.24999586109635605,0.061376278618491084,0.08649215469161088,0.04852284001384043,-0.009556183396433826
