TIME_OF_DAY,SPEED_mps,LATITUDE,LONGITUDE,ACCELEROMETER X (m/sÂ²),ACCELEROMETER Y (m/sÂ²),ACCELEROMETER Z (m/sÂ²),GRAVITY X (m/sÂ²),GRAVITY Y (m/sÂ²),GRAVITY Z (m/sÂ²),LINEAR ACCELERATION X (m/sÂ²),LINEAR ACCELERATION Y (m/sÂ²),LINEAR ACCELERATION Z (m/sÂ²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (Î¼T),MAGNETIC FIELD Y (Î¼T),MAGNETIC FIELD Z (Î¼T),ORIENTATION Z (azimuth Â°),ORIENTATION X (pitch Â°),ORIENTATION Y (roll Â°),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (Â°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9:41:19 AM,0,29.99817313,-95.74051891,-1.206,4.79,8.657,-1.587,5.587,7.902,0.26,0.157,0.255,0.042,0.067,-0.063,2740,-14.6,-14.1,-41.5,66.8,-34.7,11.3,8,1006.6,41.35,29.99818,-95.74053,21,NaN,-0.08949703,0.3,3.216,76,14 / 22,,12165,2019-09-28 09:41:18:991
9:41:20 AM,0.069319424,29.99817196,-95.74050919,-1.613,6.451,7.796,-1.587,5.587,7.902,0.26,0.157,0.255,0.04,0.096,-0.06,2740,-16.8,-13.4,-44.4,66.8,-34.7,11.3,8,1006.6,41.35,29.99818,-95.74053,21,NaN,-0.08140686,0.3,3.216,76,14 / 22,,12175,2019-09-28 09:41:19:001
9:41:21 AM,0.069319424,29.99816942,-95.74049845,-1.656,6.185,7.702,-1.601,5.592,7.896,-0.18,0.897,-0.405,-0.005,0.029,-0.06,2740,-16.8,-13.4,-44.4,66.8,-34.7,11.3,8,1006.6,41.35,29.99818,-95.74053,21,NaN,-0.08140686,0.3,3.216,76,14 / 22,,12186,2019-09-28 09:41:19:012
9:41:22 AM,1.489690143,29.99816811,-95.74048487,-1.254,5.355,8.339,-1.609,5.59,7.895,0.34,-0.111,0.387,-0.005,0.064,-0.063,2740,-14.6,-13.4,-44.4,62.5,-34.8,11.5,8,1006.6,41.35,29.99818,-95.74053,21,NaN,-0.08140686,0.3,3.216,76,14 / 22,,12196,2019-09-28 09:41:19:022
9:41:23 AM,1.489690143,29.99816486,-95.74047511,-1.452,4.898,8.253,-1.622,5.588,7.894,0.198,-0.694,0.595,0.04,0.081,-0.069,2740,-14.6,-13.4,-44.4,62.5,-34.8,11.5,8,1006.6,41.35,29.99818,-95.74053,21,NaN,-0.08140686,0.3,3.216,76,14 / 22,,12206,2019-09-28 09:41:19:032
9:41:24 AM,0.066935726,29.99816085,-95.74046799,-1.452,4.898,8.253,-1.622,5.588,7.894,0.198,-0.694,0.595,0.036,0.084,-0.068,2740,-16.1,-14.1,-43.7,62.5,-34.8,11.5,8,1006.6,41.35,29.99818,-95.74053,21,NaN,-0.08140686,0.3,3.216,76,14 / 22,,12215,2019-09-28 09:41:19:041
9:41:25 AM,0.066935726,29.99815765,-95.7404629,-1.775,5.252,7.798,-1.637,5.59,7.889,-0.112,-0.258,-0.072,0.036,0.084,-0.068,2740,-16.1,-14.1,-43.7,62.5,-34.8,11.5,8,1006.6,41.35,29.99818,-95.74053,21,NaN,-0.08140686,0.3,3.216,76,14 / 22,,12226,2019-09-28 09:41:19:052
9:41:26 AM,1.212146074,29.99815775,-95.74045594,-1.687,5.975,7.143,-1.652,5.596,7.882,-0.345,0.658,-0.98,0.048,0.053,-0.061,2740,-15.3,-12.7,-43.7,62.8,-34.8,11.7,8,1006.6,41.35,29.99818,-95.74053,21,NaN,-0.08140686,0.3,3.216,76,14 / 22,,12236,2019-09-28 09:41:19:062
9:41:27 AM,1.258791987,29.99816349,-95.74044806,-1.419,5.46,7.102,-1.652,5.596,7.882,-0.345,0.658,-0.98,-0.002,0.031,-0.042,2740,-15.3,-12.7,-43.7,62.8,-34.8,11.7,8,1006.6,41.35,29.99818,-95.74053,21,NaN,-0.08140686,0.3,3.216,76,14 / 22,,12246,2019-09-28 09:41:19:072
9:41:28 AM,1.258791987,29.99817549,-95.74044049,-1.419,5.46,7.102,-1.66,5.595,7.881,0.275,-0.524,-0.362,-0.021,0.047,-0.061,2740,-15.4,-14.8,-42.2,62.8,-34.8,11.7,8,1006.6,41.35,29.99818,-95.74053,21,NaN,-0.08140686,0.3,3.216,76,14 / 22,,12256,2019-09-28 09:41:19:082
